Point	Sta	Fre	Ps(TE)	Phase(TE)	Ps(TM)	Phase(TM)	Level
1	0	3	2.63862926689869	80.056778	333.89746	10.806628	-3945085
1	0	2.89998455708175	2.56840370618859	80.59903	400.03671	12.884086	-3945085
1	0	2.80002935924413	2.48928343530411	80.908455	470.96091	15.09437	-3945085
1	0	2.70001107098721	2.40697371346039	81.016373	544.28894	17.293941	-3945085
1	0	2.59999218849328	2.32352773294474	80.950523	618.69623	19.318661	-3945085
1	0	2.49996187933099	2.23989074324213	80.73278	695.67462	21.056597	-3945085
1	0	2.40001963506516	2.15712301593054	80.377014	779.76428	22.514301	-3945085
1	0	2.29994290002277	2.07536762279041	79.898293	877.534	23.848173	-3945085
1	0	2.20002926655377	1.9950727569899	79.31057	994.24469	25.312189	-3945085
1	0	2.10002573010786	1.91635798782154	78.623634	1132.1348	27.195696	-3945085
1	0	2	1.83932284264374	77.844765	1286.8944	29.733044	-3945085
1	0	1.89998456254939	1.76434873948533	76.9757	1445.7037	33.058193	-3945085
1	0	1.80002934547886	1.69160004491761	76.028435	1587.2253	37.173386	-3945085
1	0	1.70001105365702	1.62112129536606	74.999825	1685.5448	41.954903	-3945085
1	0	1.59999218849328	1.55335180721205	73.886574	1717.8788	47.159378	-3945085
1	0	1.49996187933099	1.48827741981677	72.710411	1675.1354	52.487309	-3945085
1	0	1.40001965235395	1.42619765911958	71.477409	1564.9485	57.635143	-3945085
1	0	1.29994292179191	1.36721079023226	70.195381	1407.1223	62.368748	-3945085
1	0	1.20002926655377	1.31150293585059	68.862915	1227.0331	66.526047	-3945085
1	0	1.10002573010786	1.25907296266249	67.500381	1045.1454	70.058388	-3945085
1	0	1	1.2100210480044	66.128632	875.53894	72.976959	-3945085
1	0	0.899984551614115	1.16448755542122	64.743828	725.05621	75.306244	-3945085
1	0	0.800029352361496	1.12230472747354	63.341866	596.06036	77.099243	-3945085
1	0	0.700011070987206	1.0833324878385	62.002815	487.9187	78.45932	-3945085
