Point	Sta	Fre	Ps(TE)	Phase(TE)	Ps(TM)	Phase(TM)	Level
1	0	3	2.638629267	80.056778	333.89746	10.806628	-3945085
1	0	2.899984557	2.568403706	80.59903	400.03671	12.884086	-3945085
1	0	2.800029359	2.489283435	80.908455	470.96091	15.09437	-3945085
1	0	2.700011071	2.406973713	81.016373	544.28894	17.293941	-3945085
1	0	2.599992188	2.323527733	80.950523	618.69623	19.318661	-3945085
1	0	2.499961879	2.239890743	80.73278	695.67462	21.056597	-3945085
1	0	2.400019635	2.157123016	80.377014	779.76428	22.514301	-3945085
1	0	2.2999429	2.075367623	79.898293	877.534	23.848173	-3945085
1	0	2.200029267	1.995072757	79.31057	994.24469	25.312189	-3945085
1	0	2.10002573	1.916357988	78.623634	1132.1348	27.195696	-3945085
1	0	2	1.839322843	77.844765	1286.8944	29.733044	-3945085
1	0	1.899984563	1.764348739	76.9757	1445.7037	33.058193	-3945085
1	0	1.800029345	1.691600045	76.028435	1587.2253	37.173386	-3945085
1	0	1.700011054	1.621121295	74.999825	1685.5448	41.954903	-3945085
1	0	1.599992188	1.553351807	73.886574	1717.8788	47.159378	-3945085
1	0	1.499961879	1.48827742	72.710411	1675.1354	52.487309	-3945085
1	0	1.400019652	1.426197659	71.477409	1564.9485	57.635143	-3945085
1	0	1.299942922	1.36721079	70.195381	1407.1223	62.368748	-3945085
1	0	1.200029267	1.311502936	68.862915	1227.0331	66.526047	-3945085
1	0	1.10002573	1.259072963	67.500381	1045.1454	70.058388	-3945085
1	0	1	1.210021048	66.128632	875.53894	72.976959	-3945085
1	0	0.899984552	1.164487555	64.743828	725.05621	75.306244	-3945085
1	0	0.800029352	1.122304727	63.341866	596.06036	77.099243	-3945085
1	0	0.700011071	1.083332488	62.002815	487.9187	78.45932	-3945085
1	0	0.599992167	1.048067364	60.623856	398.55081	79.453575	-3945085
1	0	0.499961852	1.01550993	59.333118	325.31219	80.130707	-3945085
1	0	0.400019652	0.986107984	58.089222	265.69461	80.51712	-3945085
1	0	0.2999429	0.95947053	56.889755	217.23309	80.641693	-3945085
1	0	0.200029267	0.93622566	55.683826	178.03082	80.558151	-3945085
1	0	0.100025696	0.915406405	54.536976	146.23924	80.34819	-3945085
1	0	0	0.896798398	53.474789	120.4725	79.994034	-3945085
1	0	-0.100015427	0.880727748	52.42366	99.587715	79.520699	-3945085
1	0	-0.199970655	0.867172598	51.404186	82.72393	78.77253	-3945085
1	0	-0.29998892	0.854654018	50.510838	69.111893	77.755981	-3945085
1	0	-0.400007833	0.845027002	49.599716	57.906452	77.055435	-3945085
1	0	-0.500038148	0.837490818	48.717205	48.926113	75.867485	-3945085
1	0	-0.599980382	0.829631924	48.018681	41.657364	74.411057	-3945085
1	0	-0.700057122	0.823650148	47.276924	35.590191	73.082436	-3945085
1	0	-0.799970733	0.818442459	46.530655	30.525942	71.719162	-3945085
1	0	-0.89997427	0.810693352	45.852921	26.29203	70.106964	-3945085
1	0	-1	0.801392712	45.001892	22.662426	68.401016	-3945085
1	0	-1.100015443	0.79121479	43.774181	19.643894	66.17482	-3945085
1	0	-1.19997062	0.776674036	42.235641	17.182047	63.362869	-3945085
1	0	-1.299988938	0.767569274	39.849762	15.099973	60.464741	-3945085
1	0	-1.400007801	0.761638515	36.872768	13.564387	56.92337	-3945085
1	0	-1.500038134	0.763736817	33.181179	12.65347	52.58094	-3945085
1	0	-1.599980382	0.781495883	28.650948	12.24507	48.020081	-3945085
1	0	-1.700057078	0.816103948	23.513023	12.318508	43.480976	-3945085
1	0	-1.799970733	0.866891409	18.242636	13.16382	38.657001	-3945085
1	0	-1.89997427	0.951487577	12.839747	14.385998	34.587406	-3945085
1	0	-2.000000009	1.05879407	8.6132002	15.84709	31.379192	-3945085
2	4.5	3	2.561254648	80.7136	416.87659	12.454123	-3945490
2	4.5	2.899984557	2.490914308	81.022499	491.97281	14.629319	-3945490
2	4.5	2.800029359	2.412262642	81.14106	569.75317	16.801626	-3945490
2	4.5	2.700011071	2.33057068	81.094414	648.62671	18.80349	-3945490
2	4.5	2.599992188	2.247795243	80.902267	729.73773	20.50284	-3945490
2	4.5	2.499961879	2.165145226	80.576874	817.84521	21.884787	-3945490
2	4.5	2.400019635	2.08339181	80.131348	919.78558	23.083731	-3945490
2	4.5	2.2999429	2.00276709	79.576042	1042.1804	24.351572	-3945490
2	4.5	2.200029267	1.923629846	78.923157	1187.5228	25.960743	-3945490
2	4.5	2.10002573	1.846132197	78.179718	1353.2385	28.139866	-3945490
2	4.5	2	1.77044219	77.351486	1528.9688	31.01779	-3945490
2	4.5	1.899984563	1.696854554	76.440063	1696.6071	34.618107	-3945490
